Time;Acel Long;Presión CIL;Presión TUB;Longitude;Latitude;Z;Velocity;Direction;Used satellites;CIL KPA;TUB KPA;Acel Long/IIR Filter;DEP KPA;BAL KPA;Ac Corregida;Ac C/ Sg Corregido;Presión Cil.;Filt Press;Presión Diff.;Aceleración;Velocidad Filt;Velocity Simp;Velocity RK4;Distancia;ACrms2;Ac Jerk;Tiempo
s;m/s2;V;V;';';m;km/h;deg.;-;kPa;kPa;m/s2;kPa;kPa;m/s2;m/s2;Kg/cm2;Kg/cm2;Kg/cm2/s;m/s2;Km/h;m/s;;m;m2/s4;m/s3;s
0,31;-0,54416507;1,3111508;3,1439388;-3671,29243;-1806,95358;65,099998;55,599998;12,1;8;1,0376871;494,98468;-0,62888664;0;0;-0,149266335960265;0,149266335960265;0,5436696017844;1,37099596730474E-02;3,28286107499465E-03;0,262683663674506;55,6860356748321;58,2983813251304;77,7129025980171;;6,90027071614611E-02;-2,15641558110199E-03;-23,5
0,32;-0,70892835;1,3103008;3,1426167;-3671,29243;-1806,95358;65,099998;55,599998;12,1;8;0,8251965;494,65417;-0,63208497;0;0;-0,314029615960265;0,314029615960265;0,5414810277344;1,15036276794036E-02;-1,95813007649992E-02;0,263991167901626;55,697952152119;58,3078335686734;77,7283125028232;;6,96913367300644E-02;-2,53274156343497E-03;-23,49
0,33;-0,6461373;1,3102221;3,1435883;-3671,29243;-1806,95358;65,099998;55,599998;12,1;8;0,80552697;494,89706;-0,63678682;0;0;-0,251238565960265;0,251238565960265;0,5412783915253;1,12992353491112E-02;-5,92202390004015E-05;0,265904523605909;55,7106310723626;58,3173408858267;77,7397737303493;;7,07052156740855E-02;-4,03237473281396E-03;-23,48
0,34;-0,66805482;1,3125813;3,1451964;-3671,29243;-1806,95358;65,099998;55,599998;12,1;8;1,3953149;495,29907;-0,64337295;0;0;-0,273156085960265;0,273156085960265;0,5473528431709;1,73885286370629E-02;-5,41453219969979E-02;0,267751549025086;55,72400526282;58,3269130506948;77,7521164999554;;7,16908920053331E-02;-4,57714088460385E-03;-23,47
0,35;-0,83478069;1,3100815;3,1430638;-3671,29242999998;-1806,95357999994;65,099998;55,599998;12,1;8;0,77036023;494,76593;-0,65130782;0;0;-0,439881955960265;0,439881955960265;0,5409163756295;1,09654298317893E-02;-2,33276245799607E-03;0,268979866975294;55,7379946722222;58,3365483942149;77,7651924539615;;7,23501688380466E-02;-4,46026744796827E-03;-23,46
0,36;-0,4567183;1,3101554;3,1424582;-3671,29239937498;-1806,95348187493;65,099998;55,653332;12,116667;8,0500002;0,78883767;494,61453;-0,65943581;0;0;-6,18195659602647E-02;6,18195659602647E-02;0,5411066528322;1,11897540730602E-02;1,43647701469995E-02;0,270899617506123;55,7525076922632;58,3462358180215;77,7800416462876;;7,33866027649639E-02;-6,01863631635128E-03;-23,45
0,37;-0,60442942;1,3105631;3,1431878;-3671,29236874998;-1806,95338374993;65,099998;55,706665;12,133333;8,1000004;0,89076161;494,79691;-0,66674554;0;0;-0,209530685960265;0,209530685960265;0,5421563959383;1,22740492703982E-02;-4,08362169800003E-03;0,272230025717618;55,7674711868436;58,3559846681978;77,7946185210537;;0,074109186902215;-6,39453824799345E-03;-23,44
0,38;-0,95360529;1,311276;3,1440747;-3671,29233812497;-1806,95328562493;65,099998;55,759998;12,150001;8,1499996;1,0689795;495,01865;-0,67236978;0;0;-0,558706555960265;0,558706555960265;0,543991965868;1,41512356051767E-02;-1,65765173340049E-02;0,272904565227481;55,7827779516175;58,3657810139114;77,8038951423398;;7,44769017220002E-02;-6,23809030962645E-03;-23,43
0,39;-0,51557243;1,3095868;3,1427073;-3671,29230749997;-1806,95318749993;65,099998;55,813332;12,166667;8,1999998;0,64668059;494,67682;-0,67529607;0;0;-0,120673695960265;0,120673695960265;0,5396426255324;9,84382700430623E-03;0,024983216479002;0,27477610455589;55,7983176050413;58,3756127602585;77,8163701922659;;7,55019076349096E-02;-7,63017367274018E-03;-23,42
0,4;-0,58852893;1,3108301;3,1435561;-3671,29227687497;-1806,95308937493;65,099998;55,866665;12,183333;8,25;0,95751882;494,88901;-0,67506176;0;0;-0,193630195960265;0,193630195960265;0,5428438656693;1,30969213174381E-02;6,81547707099939E-03;0,275839660720002;55,8139789724118;58,3854998521236;77,833741602192;;7,60875184261257E-02;-7,87911138394692E-03;-23,41
